,noun
1973,여자
1974,남미
1975,남미
1976,남미
1977,사춘기
1978,시절
1979,주인
1980,공병
1981,열등감
1982,착각
1983,본인
1984,역사
1985,암말
1986,열등
1987,감무
1988,도태
1989,동문
1990,공감
1991,하나
1992,대생
1993,남미
1994,해보
1995,하답
1996,방탄
1997,면제
1998,여자
1999,군대
2000,정상적
2001,논의
2002,가능
2003,방탄
2004,군대
2005,군대
2006,군대
2007,나한
2008,이득
2009,군대
2010,기집애
2011,이득
2012,학교면
2013,잡이
2014,유학
2015,유학
2016,문란
2017,미개
2018,보임
2019,외국
2020,한국
2021,의식
2022,개방적
2023,일지
2024,문화
2025,거리
2026,한국
2027,유학
2028,여자
2029,문란
2030,나이
2031,차면
2032,유학
2033,가면
2034,문란
2035,실제
2036,백인
2037,흑인
2038,동양
2039,남성
2040,여성
2041,매력
2042,하위
2043,어가
2044,동양
2045,남성
2046,스웨덴
2047,덴마크
2048,장신
2049,한국
2050,순간
2051,한남
2052,도태
2053,오후
2054,외국인
2055,외국
2056,한국
2057,나라
2058,나라
2059,기여
2060,사람
2061,보상
2062,관심도
2063,징병
2064,피해자
2065,세금
2066,감면
2067,평등
2068,징병
2069,중국인
2070,투표권
2071,불공정
2072,은혜
2073,강의
2074,남성
2075,잠재적
2076,자라
2077,대학교수
2078,국가
2079,명세
2080,권력
2081,지지자
2082,해외
2083,반응
2084,자국민
2085,차별
2086,대우
2087,특권층
2088,권력
2089,사람
2090,지지자
2091,사람
2092,권리
2093,의무
2094,허용
2095,가수
2096,자인
2097,피리
2098,혼혈
2099,소녀
2100,루머
2101,그래미
2102,백인
2103,시상식
2104,보이콧
2105,관심
2106,지네
2107,가수
2108,수상
2109,사람
2110,테러
2111,여자
2112,방탄
2113,면제
2114,찬성
2115,군대
2116,가지
2117,마라
2118,여자
2119,소리
2120,내서
2121,나라
2122,문제
2123,관심
2124,여자
2125,남자
2126,반응
2127,심해
2128,평생
2129,군대
2130,꼰대
2131,꼰대
2132,내가
2133,이성
2134,게이
2135,약과
2136,예외
2137,양성
2138,징병
2139,공평
2140,리더십
2141,워크숍
2142,남성
2143,잠재적
2144,가해자
2145,사회
2146,자신
2147,결백
2148,증명
2149,노력
2150,남성
2151,잠재적
2152,가해자
2153,시간
2154,자신
2155,가해자
2156,증명
2157,잠재적
2158,가해자
2159,남성
2160,본인
2161,남성
2162,증명
2163,시민
2164,의무
2165,소변
2166,아미
2167,여성
2168,징병
2169,방탄
2170,면제
2171,순수
2172,대중성
2173,보드
2174,차트
2175,기네스
2176,신기록
2177,보드
2178,집계
2179,기준
2180,이한
2181,미국
2182,멜론
2183,기준
2184,공정
2185,원칙
2186,상식
2187,여론
2188,감성
2189,인기
2190,개돼지
2191,국가
2192,군대
2193,지금
2194,전방
2195,군인
2196,의사
2197,군인
2198,해외
2199,공연
2200,질병
2201,현역
2202,서서
2203,군대
2204,난리
2205,작금
2206,사태
2207,애국심
2208,사람
2209,징집
2210,병신
2211,사람
2212,객관적
2213,기준
2214,국위
2215,선양
2216,장난
2217,여성
2218,징병제
2219,청원
2220,시다
2221,투표
2222,응원
2223,그룹
2224,세계적
2225,유명
2226,사람
2227,생각
2228,시들
2229,우물
2230,개구리
2231,논리
2232,한국인
2233,무시
2234,개념
2235,방탄
2236,설명
2237,여자
2238,차별
2239,양성
2240,평등
2241,사람
2242,양성
2243,징병
2244,여자
2245,고민
2246,가장
2247,자랑
2248,러시아
2249,침략
2250,성공
2251,영토
2252,지역
2253,약탈
2254,시작
2255,러시아
2256,가치
2257,세탁기
2258,컴퓨터
2259,자동차
2260,부품
2261,장갑차
2262,화물차
2263,자동차
2264,약탈
2265,러시아
2266,은행
2267,세계
2268,금융
2269,시스템
2270,단절
2271,러시아
2272,에너지
2273,자원
2274,수출
2275,원유
2276,수출
2277,제한
2278,민족
2279,파괴
2280,권리
2281,생각
2282,가난
2283,무법
2284,죽음
2285,권리
2286,생각
2287,야만
2288,국가
2289,세계
2290,기업
2291,스폰서
2292,백양
2293,남자
2294,남자
2295,난민
2296,문제
2297,해결
2298,방법
2299,정착
2300,인종
2301,흑인
2302,니들
2303,여자
2304,남자
2305,오후
2306,소극적
2307,인간관계
2308,남녀
2309,관계
2310,방어
2311,행동
2312,주변
2313,나치
2314,체념
2315,심해
2316,자존
2317,감이
2318,모습
2319,군바리
2320,타령
2321,병사
2322,부대
2323,대부분
2324,간부
2325,군무원
2326,기본권
2327,고통
2328,병사
2329,타국
2330,강제
2331,노동
2332,국가
2333,자국민
2334,강제
2335,노동
2336,이용
2337,규칙
2338,위반
2339,손님
2340,자전거
2341,반려
2342,동물
2343,수레
2344,제지
2345,다툼
2346,가능성
